"时间戳","主键","创建人","创建时间","修改人","修改时间","企业id","标签id","标签名称","数据来源"
2025-10-26 19:33:14.000,"002829f1a9146869f5f7f00bc814b5ef",,,,,"92320507MA1PKA9Y37","2ed65e7e852b4b29837b00f9b243d5d1",厂中厂（省级）,
2025-10-26 19:33:13.000,"0028558c9dddbbd33990cfc2592918a1",,,,,"91320585MA1N1HEG1M","2ed65e7e852b4b29837b00f9b243d5d1",厂中厂（省级）,
2025-10-26 19:33:13.000,"00289f0e6f710ad86ce0840219b3a49b",,,,,"913205943464855007",bb482be4ad7c4313ae774ba8d7b29e85,乡镇（街道）级,
2025-10-26 19:33:11.000,"002962c90313af43d1d3ba7a94ec2a25",,,,,"91320581MA1WP08L7F","4e0899e990724afdb54fb1559a89053e",厂中厂-承租方,
2025-10-26 19:33:11.000,"0029932a68908a406e2848b24e64de3a",,,,,"91320581MA235EJY85","4e0899e990724afdb54fb1559a89053e",厂中厂-承租方,
2025-10-26 19:33:12.000,"0029c01b4e94c08e303a982d3c8bac23",,,,,"91320583MA1R7CA91W","2ed65e7e852b4b29837b00f9b243d5d1",厂中厂（省级）,
2025-10-26 19:33:08.000,"002a39644da46e8e3239b9c725ae7f08",,,,,"91320505732513733J","99ab4b32297541aabad837ed9541f024",危化品使用企业,
2025-10-26 19:33:11.000,"002a72f24386d81427b420039f4ed32b",,,,,"91320583051874859P","2ed65e7e852b4b29837b00f9b243d5d1",厂中厂（省级）,
2025-10-26 19:33:10.000,"002a7e8aa440e3e5ec93ac2faa20c231",,,,,"91320509MA265HE5XT","4e0899e990724afdb54fb1559a89053e",厂中厂-承租方,
2025-10-26 19:33:11.000,"002a877e90b72c4ba73308fe014d0d5d",,,,,"91320582736522477U","2ed65e7e852b4b29837b00f9b243d5d1",厂中厂（省级）,
2025-10-26 19:33:08.000,"002ab747ea54f26c8e58426b48080b59",,,,,"91320506301940426A","4e0899e990724afdb54fb1559a89053e",厂中厂-承租方,
2025-10-26 19:33:13.000,"002d35aaaf7eef4af879e2f0e26a349a",,,,,"91320585MAC2P3H54A","4e0899e990724afdb54fb1559a89053e",厂中厂-承租方,
2025-10-26 19:33:12.000,"002d638762ba0388980643c96dd11f90",,,,,"91320583668373974D",bb482be4ad7c4313ae774ba8d7b29e85,乡镇（街道）级,
2025-10-26 19:33:10.000,"002da20c59db0accdbba4a027f0889cb",,,,,"91320509MA1N2E2G2L","4e0899e990724afdb54fb1559a89053e",厂中厂-承租方,
2025-10-26 19:33:08.000,"002e9e3bf3fd5f0571a1e9ccca329d35",,,,,"91320506074706567D","4e0899e990724afdb54fb1559a89053e",厂中厂-承租方,
2025-10-26 19:33:13.000,"002edda954f060e89e2301a711339847",,,,,"91320583MA235JKT7D","4e0899e990724afdb54fb1559a89053e",厂中厂-承租方,
2025-10-26 19:33:09.000,"002f3fdef907b3c3b83424c72c8aa839",,,,,"91320507MA1NTKC76H","2ed65e7e852b4b29837b00f9b243d5d1",厂中厂（省级）,
2025-10-26 19:33:07.000,"002fb0cb4a9c3fd3c5b5449b6db84ad0",,,,,"91320500738277671B",bb482be4ad7c4313ae774ba8d7b29e85,乡镇（街道）级,
2025-10-26 19:33:11.000,"002fb3a1b55208f93fc4969da953da83",,,,,"91320582565348186P",bb482be4ad7c4313ae774ba8d7b29e85,乡镇（街道）级,
2025-10-26 19:33:11.000,"00309baaff3bb6cd28ba119cda8f1c94",,,,,"913205826944960464",bb482be4ad7c4313ae774ba8d7b29e85,乡镇（街道）级,
2025-10-26 19:33:08.000,"00313e53270ccef34ea9c95f399b1b87",,,,,"91320506330862551Y","2ed65e7e852b4b29837b00f9b243d5d1",厂中厂（省级）,
2025-10-26 19:33:13.000,"00319cf070fd92e4a4f3248fcaad9508",,,,,"91320583MAC963E15R","4e0899e990724afdb54fb1559a89053e",厂中厂-承租方,
2025-10-26 19:33:10.000,"0033315b7c8881200018bc33d70e5eec",,,,,"91320509750548796Y","99ab4b32297541aabad837ed9541f024",危化品使用企业,
2025-10-26 19:33:13.000,"0033bfc12f7d1051e226eefaa972fd0d",,,,,"91320585069468293J","2ed65e7e852b4b29837b00f9b243d5d1",厂中厂（省级）,
2025-10-26 19:33:12.000,"0034a7c39ee41994d8d6ef4848620f8c",,,,,"91320583724400050W",bb482be4ad7c4313ae774ba8d7b29e85,乡镇（街道）级,
2025-10-26 19:33:10.000,"003511a2a258672625b9c7f64bb001e1",,,,,"91320509747312133Y","1a282fd947354a6295071c1e9b84948b",厂中厂-出租方,
2025-10-26 19:33:10.000,"0035d0370e5526e77c981acee14ba04e",,,,,"91320509MA1WGMT269",bb482be4ad7c4313ae774ba8d7b29e85,乡镇（街道）级,
2025-10-26 19:33:09.000,"0036310f758cda6c41f268cdc3a3358a",,,,,"91320509086936175P","4e0899e990724afdb54fb1559a89053e",厂中厂-承租方,
2025-10-26 19:33:09.000,"0036a6c863401d95a99e7d7c0c809056",,,,,"91320507713231247U",bb482be4ad7c4313ae774ba8d7b29e85,乡镇（街道）级,
