"id","geom","ID","STREET","REGION","ADDRESS","HOUSE_NAME","COMMUNITY","图斑ID（3+1）","BUILDING_H","x","y"," 0：未关联，1：工业企业，2：小场所，3：机关事业单位，4：其他单位, 5：居民住宅","企业类型数量","其他单位数量","小场所数量","机关事业单位数量","居民房屋数量","街道编码","区域编码","社区编码","是否拆除:0否；1是","sync","企业最高风险等级：0-红色风险(A), 1-橙色风险(B), 2-黄色风险(C), 3-蓝色风险(D)","其他单位最高风险等级：0-红色风险, 1-橙色风险, 2-黄色风险, 3-蓝色风险","商业场所最高风险等级：0-红色风险, 1-橙色风险, 2-黄色风险, 3-蓝色风险","机关事业单位最高风险等级：0-红色风险, 1-橙色风险, 2-黄色风险, 3-蓝色风险","居民住宅最高风险等级：0-红色风险(red), 1-橙色风险(orange), 2-黄色风险(yellow), 3-蓝色风险(green)","房屋类型(单选)（字典：building_type）:1：住宅:2：住宅+底商  3：非住宅","非住宅具体建筑用途（字典：building_purpose），多选，逗号分隔","标准地址id"
817502,"MULTIPOLYGON (((120.64195090700002 31.844074206000073, 120.64264804700008 31.843994809000037, 120.64265744400006 31.843898842000044, 120.64192775700008 31.843879620000052, 120.64195090700002 31.844074206000073)))","6684874381f09fd1ff78fd4761d048ab",塘桥镇,张家港,钱国忠厂房6,钱国忠厂房6,巨桥村,"3205820093096","4",120.642255179,31.8439631194,"",0,0,0,0,0,"320582100","320582","320582100227",,1,,,,,,"3","34",
943261,"MULTIPOLYGON (((120.64912990500011 31.842804744000034, 120.64946503500005 31.84276294800003, 120.64944707500001 31.842658012000072, 120.64911194500007 31.842699808000077, 120.64912990500011 31.842804744000034)))","0f18db67c328fc8e6b30223f97431c31",塘桥镇,张家港,龙盛制衣车间,龙盛制衣车间,巨桥村,"3205820093531","8",120.64928849,31.842731378,"",0,0,0,0,0,"320582100","320582","320582100227",,0,,,,,,"3","34",
1005183,"MULTIPOLYGON (((120.39518874600003 31.95192464400003, 120.39514471700011 31.95184762300005, 120.39504588600005 31.951886758000057, 120.39508820900005 31.951964455000052, 120.39518874600003 31.95192464400003)))",ee1aa2aaebb4a1388487eb1cc35edd77,金港街道,张家港,金港街道长山村第十五组51号,金港街道长山村第十五组51号（卢越清）,长山村委会,"3205820034952","3.8",120.395116951,31.9519059804,"",0,0,0,0,0,"320582001","320582","320582001220",,0,,,,,,"1","",
818024,"MULTIPOLYGON (((120.64498760100003 31.83927297300005, 120.64511963100006 31.839287574000025, 120.64513007200003 31.839218772000038, 120.64499804200011 31.839204171000063, 120.64498760100003 31.83927297300005)))","4ad990dd1ec0f76be380dc0aae8a7d86",塘桥镇,张家港,巨桥村8组30号,巨桥村8组30号,巨桥村委会,"3205820094080","8",120.645058837,31.8392458725,"",0,0,0,0,0,"320582100","320582","320582100227",,1,,,,,,"1","",
1333238,"MULTIPOLYGON (((120.82803991200001 31.14832112700003, 120.82796878200008 31.14832537700005, 120.82797200200002 31.14837928000003, 120.82804313200006 31.148375031000057, 120.82803991200001 31.14832112700003)))","35e61f8ea9fc68a4b7ba60f2994c305d",周庄镇,昆山市,双庙村龙新路171号,双庙村龙新路171号房屋2,双庙村委会,"3205830187031","3.6",120.828005957,31.1483502037,"",0,0,0,0,0,"320583112","320583","320583112207",,0,,,,,,"3","23",
470516,"MULTIPOLYGON (((120.87753959300005 31.220575394000036, 120.87758887900009 31.220578473000046, 120.87759316000006 31.22050994500006, 120.8775438780001 31.22050686500006, 120.87753959300005 31.220575394000036)))","2933543f195544e5b7fccca8bf479462",甪直镇,吴中区,澄东村-西塘-九千浜-3号,苏州盛兴包装材料厂-房屋4,澄东村委会,"3205060109747","3",120.877566377,31.2205426697,"",0,0,0,0,0,"320506101","320506","320506101207",,0,,,,,,"1","",
880669,"MULTIPOLYGON (((120.63243470700002 31.819337408000024, 120.633626133 31.819316211000057, 120.63362259700011 31.81917136000004, 120.6324311730001 31.819192557000065, 120.63243470700002 31.819337408000024)))","295B4EFBE8784610A98967B1941E8F2A",塘桥镇,张家港,塘桥镇维达北村1幢,塘桥镇维达北村1幢,镇中社区,"3205820095704","18",120.633028653,31.819254384,"2",0,0,2,0,0,"320582100","320582","320582100003",,1,,,3,,,"2","",
818045,"MULTIPOLYGON (((120.63327381700003 31.824116477000075, 120.63340294400007 31.824118698000063, 120.6334054780001 31.824011273000053, 120.63327635100006 31.824009052000065, 120.63327381700003 31.824116477000075)))","10fd493f07d0c98ab307a62e22298ba9",塘桥镇,张家港,北京路19号,北京路19号,镇中社区,"3205820095736","7.2",120.633339648,31.824063875,"",0,0,0,0,0,"320582100","320582","320582100003",,1,,,,,,"1","",
881180,"MULTIPOLYGON (((120.64293020000002 31.827705224000056, 120.6436813900001 31.827699995000046, 120.64367920200004 31.82747095700006, 120.64292801400006 31.82747618600007, 120.64293020000002 31.827705224000056)))","9ba837377b2a12cf38fc13d5fe55e078",塘桥镇,张家港,张家港市广顺机械有限公司,张家港市广顺机械有限公司1,青龙村,"3205820096293","10",120.643304702,31.8275880906,"",0,0,0,0,0,"320582100","320582","320582100245",,1,,,,,,"3","35",
942763,"MULTIPOLYGON (((120.63752489900003 31.82414465800008, 120.63752250200002 31.823997115000054, 120.6371489820001 31.82400153800006, 120.63714998600005 31.824063376000026, 120.63715137800011 31.82414908000004, 120.63752489900003 31.82414465800008)))",B646115E6B1042919B1704FF3AAD7602,塘桥镇,张家港,北京路3号,张家港市塘桥鑫顺汽修厂,镇中社区,"3205820096369","7",120.63733694,31.8240730978,"",0,0,0,0,0,"320582100","320582","320582100003",,1,,,,,,"3","34",
