"时间戳","社会统一信用代码 主键","企业名称","省","行政区划省","市","行政区划市","区县","行政区划区县","详细地址","国民经济门类","国民经济大类","国民经济中类","国民经济小类","上报状态 1已上报 0未上报","上报时间","上报时间字符串yyyyMMdd","是否规上企业 1 是 0 否","国民经济门类","国民经济大类","国民经济中类","国民经济小类","乡镇/街道","乡镇/街道名称","行业监管大类","是否编辑","是否修改","创建人","创建日期","修改人","修改日期","数据来源","标准地址","经度","纬度","风险报告ID（二次加工，最新一次近两年）","企业安全风险等级,字典：ep_last_level(A、B、C、D)","上报方式","年份标志","生产经营地址","标准地址id"
2026-03-16 18:31:37.000,"320506600704631",吴中区甪直富锦源精密模具厂,江苏省,"320000",苏州市,"320500",吴中区,"320506",,C,"33","332",,"0",,"20240110","0",制造业,金属制品业,金属工具制造,,"320506101",甪直镇,E_4,,,,,,,,,,,,,"2",,,
2026-03-16 18:31:37.000,"320506600836511",吴中区胥口奥轩机械厂,江苏省,"320000",苏州市,"320500",吴中区,"320506",,C,"34","348","3484","2",,"20240122","0",制造业,通用设备制造业,通用零部件制造,机械零部件加工,"320506108",木渎镇,E_4,,,,,,,,,,,,,"1",,,
2026-03-16 18:31:37.000,"320506601106688",吴中区胥口福润涛精密机械加工厂,江苏省,"320000",苏州市,"320500",吴中区,"320506",,C,"33","331",,"2",,"20240131","0",制造业,金属制品业,结构性金属制品制造,,"320506108",木渎镇,E_4,,,,,,,,,,,,,"1",,,
2026-03-16 18:31:37.000,"320506601110640",吴中区甪直洪明木材经营部,江苏省,"320000",苏州市,"320500",吴中区,"320506",苏州市吴中区甪直镇车坊瑶盛村赞头,C,"20","203","2031","0",,"20250318","0",制造业,木材加工和木、竹、藤、棕、草制品业,木质制品制造,建筑用木料及木材组件加工,"320506104",光福镇,E,,,,,,,,江苏省苏州市吴中区吴淞路车坊,"120.564442","31.297022",,,"1",,,
2026-03-16 18:31:37.000,"320506666202210240383",苏州东澄华智能制造科技集团有限责任公司,江苏省,"320000",苏州市,"320500",吴中区,"320506",苏州市吴中区木渎镇下李塔路3号,C,"38","389","3899","0",,"20250220","0",制造业,电气机械和器材制造业,其他电气机械及器材制造,其他未列明电气机械及器材制造,"320506108",木渎镇,E,,,,,,,,江苏省苏州市吴中区木渎镇下李塔路3号,"120.538707","31.247707",,,"2",,,
2026-03-16 18:31:37.000,"320512600163922",苏州高新区废旧物资交易市场锝翔废金属经营部,江苏省,"320000",苏州市,"320500",吴中区,"320506",,C,"42","421",,"2",,"20240124","0",制造业,废弃资源综合利用业,金属废料和碎屑加工处理,,"320506111",临湖镇,N,,,,,,,,,,,,,"1",,,
2026-03-16 18:31:37.000,"320584600412701",吴江市盛泽镇信发印花厂,江苏省,"320000",苏州市,"320500",吴江区,"320509",苏州市吴江区盛泽镇南环路南侧（前庄村）,C,"17","175","1752","0",,"20250114","0",制造业,纺织业,化纤织造及印染精加工,化纤织物染整精加工,"320509103",吴江高新区（盛泽镇）,E,,,,,,,,江苏省苏州市吴江区盛泽镇前庄村,"120.663086","30.8927",,,"2",,,
2026-03-16 18:31:37.000,"320584600668346",吴江区同里镇玉山五金厂,江苏省,"320000",苏州市,"320500",吴江区,"320509",,C,"33","331","3311","2",,"20240118","0",制造业,金属制品业,结构性金属制品制造,金属结构制造,"320509101",同里镇,E_4,,,,,,,,,,,,,"1",,,
2026-03-16 18:31:37.000,"320584600704368",吴江区同里镇华盈五金机电商行,江苏省,"320000",苏州市,"320500",吴江区,"320509",同里镇环湖西路199号同钱里B28号,C,"34","348","3484","2",,"20240121","0",制造业,通用设备制造业,通用零部件制造,机械零部件加工,"320509003",江陵街道,E_4,,,,,,,,江苏省苏州市吴江区同里镇环湖西路199号同钱里,"120.72661","31.151302",,,"1",,,
2026-03-16 18:31:37.000,"320584600872429",吴江区震泽镇治起床上用品加工厂,江苏省,"320000",苏州市,"320500",吴江区,"320509",江苏省 苏州市 吴江区 震泽镇勤幸路179号,C,"17","177","1771","2",,"20250117","0",制造业,纺织业,家用纺织制成品制造,床上用品制造,"320509105",震泽镇,E_6,"0","1",,,,,,江苏省苏州市吴江区震泽镇勤幸路179号,"120.494529","30.921949",,,"1",,,
