"时间戳","主键","创建人","创建时间","修改人","修改时间","标签代码","标签名称","标签状态","标签范围","省","市","县","区","创建等级","创建机构","是否删除","行业领域","父代码","数据来源"
2022-05-18 15:15:32.000,"99ab4b32297541aabad837ed9541f024",应急厅用户,2021-12-28 16:18:35.000,应急厅用户,2022-02-09 16:17:12.000,"012",危化品使用企业,危化品使用,"1","320000",,,,"1",江苏省,"0",SUPE_CORP_H,"000",
2022-05-18 15:15:32.000,"26b31e82550a4e4e9b337539fc00e0cc",应急厅用户,2021-12-28 16:08:47.000,,,"008",钢铁企业,钢铁企业,"1","320000",,,,"1",江苏省应急管理厅,"0",SUPE_CORP_G,"000",
2022-05-18 15:15:32.000,"4118beaa6ca34d12b7ff9ee4698144c9",应急厅用户,2021-12-28 16:10:15.000,,,"011",有限空间企业,有限空间作业,"1","320000",,,,"1",江苏省应急管理厅,"0",SUPE_CORP_C,"000",
2022-05-18 15:15:32.000,"5beaa21d87534a4cbfa96dee569da4dc",应急厅用户,2021-12-28 16:09:13.000,,,"009",铝加工（深井铸造）企业,铝加工（深井铸造）,"1","320000",,,,"1",江苏省应急管理厅,"0",SUPE_CORP_F,"000",
2022-05-18 15:15:32.000,a9d7b8ee0dfb4c5b92a07108da67d67e,应急厅用户,2021-12-28 16:09:37.000,,,"010",金属冶炼企业,金属冶炼,"1","320000",,,,"1",江苏省应急管理厅,"0",SUPE_CORP_A,"000",
2022-05-18 15:15:32.000,aca9a01815684397bd880b9ec0d62aee,应急厅用户,2021-12-28 16:08:27.000,,,"007",粉尘涉爆企业,粉尘涉爆企业,"1","320000",,,,"1",江苏省应急管理厅,"0",SUPE_CORP_B,"000",
