"时间戳","管理类别名称","主要事故类别","风险点","备注","管理类别编码","主键ID","风险代码","风险名称","创建人","修改人","创建时间","修改时间","排序","删除标识"
2026-03-11 19:06:55.000,（01）非煤矿山,坍塌,库区、尾矿坝,,"01","202012301114029 ","0129",（尾矿库）危库、险库、病库,,,,,129,"0"
2026-03-11 19:06:55.000,（01）非煤矿山,坍塌,尾矿坝,,"01","202012301114030 ","0130",（尾矿库）坝体有贯穿性横向裂缝、较大范围管涌、流土变形、深层滑动迹象,,,,,130,"0"
2026-03-11 19:06:55.000,（01）非煤矿山,坍塌,坝体未按设计要求和标准规范进行采、挖、爆破的相关部位,,"01","202012301114031 ","0131",（尾矿库）筑坝方式不正确,,,,,131,"0"
2026-03-11 19:06:55.000,（01）非煤矿山,坍塌,库区干滩高程、干滩长度超标的部位,,"01","202012301114032 ","0132",（尾矿库）尾矿排放不正确,,,,,132,"0"
2026-03-11 19:06:55.000,（15）民爆,火药爆炸,起爆药中转库,,"15","202112301124260","1511",起爆药出入库,,,,,1511,"0"
2026-03-11 19:06:55.000,（01）非煤矿山,坍塌,库区预埋排渗设施、浸润线段,,"01","202012301114033 ","0133",（尾矿库）库区浸润线、排渗设施未按设计埋设,,,,,133,"0"
2026-03-11 19:06:55.000,（01）非煤矿山,坍塌,库区、周边防洪设施,,"01","202012301114034 ","0134",（尾矿库）排洪系统构筑物堵塞或损坏,,,,,134,"0"
2026-03-11 19:06:55.000,（01）非煤矿山,火药爆炸,井口,,"01","202012301114035 ","0135",（陆上石油天然气开采）陆上石油勘探,,,,,135,"0"
2026-03-11 19:06:55.000,（01）非煤矿山,火灾、其他爆炸,钻井井口、井口附近500m,,"01","202012301114036 ","0136",（陆上石油天然气开采）高压油气井钻探、开采,,,,,136,"0"
2026-03-11 19:06:55.000,（01）非煤矿山,中毒和窒息,井口、井场及周边,,"01","202012301114037 ","0137",（陆上石油天然气开采）含硫化氢油气井开采,,,,,137,"0"
2026-03-11 19:06:55.000,（01）非煤矿山,其他伤害,测井施工现场,,"01","202012301114038 ","0138",（陆上石油天然气开采）放射源遗失,,,,,138,"0"
