"id","geom","ID","STREET","REGION","ADDRESS","HOUSE_NAME","COMMUNITY","图斑ID（3+1）","BUILDING_H","x","y"," 0：未关联，1：工业企业，2：小场所，3：机关事业单位，4：其他单位, 5：居民住宅","企业类型数量","其他单位数量","小场所数量","机关事业单位数量","居民房屋数量","街道编码","区域编码","社区编码","是否拆除:0否；1是","sync","企业最高风险等级：0-红色风险(A), 1-橙色风险(B), 2-黄色风险(C), 3-蓝色风险(D)","其他单位最高风险等级：0-红色风险, 1-橙色风险, 2-黄色风险, 3-蓝色风险","商业场所最高风险等级：0-红色风险, 1-橙色风险, 2-黄色风险, 3-蓝色风险","机关事业单位最高风险等级：0-红色风险, 1-橙色风险, 2-黄色风险, 3-蓝色风险","居民住宅最高风险等级：0-红色风险(red), 1-橙色风险(orange), 2-黄色风险(yellow), 3-蓝色风险(green)","房屋类型(单选)（字典：building_type）:1：住宅:2：住宅+底商  3：非住宅","非住宅具体建筑用途（字典：building_purpose），多选，逗号分隔","标准地址id"
122076,"MULTIPOLYGON (((120.59064307200003 30.885603595000077, 120.59033958200007 30.885627516000056, 120.59034927300002 30.88575047100005, 120.5906527630001 30.885726550000072, 120.59064307200003 30.885603595000077)))",e28a2f1f12a4fa379aa692ed72e8340b,盛泽镇,吴江区,双溪村委会5组,双溪村委会5组朱育林厂房,双溪村委会,"3205090240684","6",120.590496173,30.885677033,"",0,0,0,0,0,"320509103","320509","320509103226",,0,,,,,,"3","05",
1236242,"MULTIPOLYGON (((121.14494534200003 31.617461955000067, 121.14494027800004 31.617563735000033, 121.14508224300005 31.617572564000056, 121.145088568 31.61747086200006, 121.14494534200003 31.617461955000067)))",E2969F9F8FBB4E80B0AC3999F937726C,浮桥镇,太仓市,浮桥镇金浪红星新村289号,浮桥镇金浪红星新村289号,九曲社区居委,"3205850063947","9",121.145014112,31.617517204,"",0,0,0,0,0,"320585103","320585",,,1,,,,,,"1","",
1361084,"MULTIPOLYGON (((120.97160772000007 31.44695003000004, 120.9721483300001 31.446999520000077, 120.97216480000009 31.446819670000025, 120.97162418000005 31.446770170000036, 120.97160772000007 31.44695003000004)))",E2A339E193DE460EA74F515CBEC2940D,周市镇,昆山市,华杨路18号,昆山市华杨储运中心3号厂房,永共村,"3205830031149","8.6",120.971886255,31.446884847,"",0,0,0,0,0,"320583105","320583","320583105205",,1,,,,,,"3","32",
1243544,"MULTIPOLYGON (((121.24788027300008 31.52746170000006, 121.24780760700003 31.527447866000045, 121.24776722900003 31.527603473000056, 121.24783989600007 31.52761730700007, 121.24788027300008 31.52746170000006)))",e2add92a3b05edcef59184547f05f787,浏河镇,太仓市,听海路185号,太仓市永明塑业有限公司2,新闸村委会,"3205850121787","8",121.247823751,31.5275325867,"",0,0,0,0,0,"320585111","320585","320585111206",,1,,,,,,"3","35",
634972,"MULTIPOLYGON (((120.54195756099273 31.306713022288193, 120.54198836187345 31.306711003310227, 120.54198304058491 31.306629874569126, 120.54195224060345 31.30663189444641, 120.54195756099273 31.306713022288193)))",e2ae0a88b842b2f5cabc5c2771d5d49c,枫桥街道,高新区,长江路461号,何山公园厕所,西津桥社区,"3205050067272","3",120.541970301,31.3066714487,"",0,0,0,0,0,"320505004","320505","320505004002",,1,,,,,,"3","31",
472666,"MULTIPOLYGON (((120.60040715100001 30.960176812000043, 120.60037465300002 30.960301925000067, 120.60050104000004 30.960333408000054, 120.600532283 30.960207982000043, 120.60040715100001 30.960176812000043)))",e2b4e062328c4148b700049844cafd90,平望镇,吴江区,新南村委会10组张家浜路38号,新南村委会10组张家浜路38号,新南村委会,"3205090237458","8.8",120.600453755,30.9602551359,"",0,0,0,0,0,"320509102","320509","320509102233",,1,,,,,,"1","",
1158058,"MULTIPOLYGON (((121.07196745600004 31.316956016000063, 121.07196461700005 31.316904357000055, 121.07179139200002 31.31691387500007, 121.07179423100001 31.316965534000076, 121.07196745600004 31.316956016000063)))",E2EE61559291404492206627B875B6A1,陆家镇,昆山市,陆丰东路78号,昆山市鑫明钢管钢模租赁有限公司6号厂房,邹家角社区,"3205830101670","7",121.071879424,31.3169349455,"",0,0,0,0,0,"320583107","320583","320583107010",,1,,,,,,"3","34",
1739930,"MULTIPOLYGON (((120.7402044033106 31.68629659980826, 120.74020320001773 31.68619955936225, 120.74016560925554 31.686199712246946, 120.74012207217595 31.68619988671543, 120.7400829957337 31.686200044996156, 120.7400841981273 31.68629708634154, 120.7402044033106 31.68629659980826)))",e2efc47f5783716ae6daf191a95d0271,常福街道,常熟市,"4组龙江苑307号",常福街道常福路303号龙江苑307号,毛桥村委会,"3205810311074","9",120.740143699,31.6862483228,"",0,0,0,0,0,"320581007","320581","320581007206",,1,,,,,,"1","",
814186,"MULTIPOLYGON (((120.75238717000002 31.924425360000043, 120.7524362900001 31.92449879000003, 120.75250138000001 31.92446712000003, 120.75245169000004 31.924392840000053, 120.75238717000002 31.924425360000043)))",e2f536d9cbbae2f4271adb640137f361,乐余镇,张家港,红闸村村委十八组9号,红闸村村委十八组9号徐洪英(杜松华),红闸村委会,"3205820304119","7.5",120.752444195,31.9244459968,"",0,0,0,0,0,"320582105","320582","320582105233",,1,,,,,,"1","",
1496387,"MULTIPOLYGON (((120.95557539408924 31.70034554710935, 120.95552123961363 31.700288243207922, 120.95551063390872 31.70027702056808, 120.95544822095871 31.70032015565073, 120.95551298113924 31.70038868309132, 120.95551960734406 31.70039569600459, 120.95558202299208 31.70035256182132, 120.95557539408924 31.70034554710935)))",e3283ca8ac29a7e853dc1f69db8132ed,董浜镇,常熟市,陆家市路69号,陆家市路69号住宅,陆市村委会,"3205810335930","8",120.955515122,31.7003363584,"",0,0,0,0,0,"320581111","320581","320581111214",,1,,,,,,"1","",
