"时间戳","市","企业历史id","区、县","备注","地址名称","省","街道、乡镇","是否为主要","主键id","详细地址","创建人","修改人","创建时间","修改时间","排序","删除标识","统一社会信用代码","经度","纬度"
2026-03-11 20:03:07.000,"320500",f05df018590847d8a1327494a85f83e4,"320582",ae7e7d73870349de90b374a689f8ce85,张家港荣力奇纺织有限公司,"320000","320582003","1","000484bddd95490db294bc45714ce09e",金城路1号,admin,admin,2025-02-16,2025-02-16,1,"0","91320582MA1N0N1Q15","120.482945","32.005344"
2026-03-11 20:03:07.000,"320500","0830ff62b7104db9a548a528c1766a3e","320583","86c3709833ee43ac99c031f1f564417a",昆山利尔电气实业有限公司,,"320583499","1","0004b0b473564237ac259e5b7c2efecb",昆山市玉山镇城北路1255号3号楼厂房,admin,admin,2026-01-08,2026-01-08,1,"0","913205833312869128","120.929630","31.395605"
2026-03-11 20:03:07.000,"320500","260d19c5f41440aa92b6a63580be3e20","320582","8ae4ca877f30437e017f337ec1e21a7c",腾鸿贸易,"320000","320582100","1","0004b60929294fc59a15dc37c6660c87",东七公路39号,admin,admin,2022-02-26,2022-02-26,1,"0","91320582MA1YP04B1G","120.481674","31.990862"
2026-03-11 20:03:07.000,"320500",f61f90e1e3ce476abbe92569d7b91508,"320581",d29e3a631a4a46e89d8c643c07fe5f72,常熟市中腾金属制品科技有限公司,"","320581002","1","0004c59e186a4129830401ae671a8668",常熟市虞山镇大义义虞路1号,admin,admin,2025-02-11,2025-02-11,1,"0","91320581MA1PABTQ3B","120.683887","31.692043"
2026-03-11 20:03:07.000,"320500","664812bee89c42b4804c03e3f925cd81","320509",de05f14b0eee4ba68d727349a9e4833e,苏州晟鼎半导体设备有限公司,,"320509004","1","0005076ae41747d19fbae9c756d27622",苏州市吴江区江陵街道兴瑞路888号17栋5楼南,admin,admin,2026-01-12,2026-01-12,1,"0","91320506MA26UXTUXB","120.688104","31.136244"
2026-03-11 20:03:07.000,"320500","4dcc57522e9242df8b3b059fcac31581","320583","8ae4ca877e44d256017e481be4f942f5",苏州创三堡精密机械有限公司,"","320583105","1","000544a16e454b19824d54fe8be427f5",沈安路1号,admin,admin,2022-01-11,2022-01-11,1,"0","91320583MA269HNR93","121.048566","31.189073"
2026-03-11 20:03:07.000,"320500","74892c7d2355452089b6d3c30d1c6d9f","320505","8ae4ca8e7e7b831a017e89b54e0d253b",苏州稼益塑胶技研有限公司,"320000","320505003","1","0005453675d44c5f83498da14d8014f7",湘江路1428号,admin,admin,2022-01-24,2022-01-24,1,"0","91320505794571322G","120.511524","31.330813"
2026-03-11 20:03:07.000,"320500","731d2d53832b4697a13119c5a4a4fc99","320583","8ae4ca857e481ab2017e4846c82c50c2",昆山市亚东电脑印务发展有限公司,"320000","320583400","1","000567cd65fa44bd9b2a06dc491e5b97",杨树路596号,admin,admin,2022-01-12,2022-01-12,1,"0","913205837378493321","120.98074","31.38464"
2026-03-11 20:03:07.000,"320500","120501d9059242e5a4d008ec950cb2fe","320509",ff808081860c49e601861597d51905fe,苏州高荣实业有限公司,"","320509110","1","000578b6b8d54226a6f2100a24c5d1df",临沪大道2222号,admin,admin,2023-02-03,2023-02-03,1,"0","91320509795365053M","120.481000","31.013000"
2026-03-11 20:03:07.000,"320500","7a17f5eed188459a9653cc7753e12d74","320506",dd553d90e97440d9b3491d7fbe5e4ee1,苏州亚光电子材料有限公司,"320000","320506100","1","0005f44fb8d5476d950b6590131bb0fb",联谊路298-22号,admin,admin,2023-02-02,2023-02-02,1,"0","9132050078497657XQ","120.816199","31.265597"
2026-03-11 20:03:07.000,"320500","13c6701ebbef455bba344dd6bf307723","320583","8ae4ca867e48ad10017e4d5dd0001c7f","2号房","320000","320583109","1","00061756588e41d7bb9556faf278a422",锦辉路432号,admin,admin,2022-01-13,2022-01-13,1,"0","91320583MA1X7NKM7H","118.763200","33.062442"
2026-03-11 20:03:07.000,"320500",e57b7841e24646b199945f7ccdb44b51,"320509","8aae07368cd919f8018cdcab56884268",苏州越新纸箱包装有限公司,"320000","320509107","1","0006442073d2468dabc86e709dc3ea22",吴越路东侧,admin,admin,2024-01-06,2024-01-06,1,"0","91320509598552319Q","120.391070","30.914009"
2026-03-11 20:03:07.000,"320500","2e71fdb507ab49089fea2bb3280369a7","320582",ff8080818b949a64018ba213b2201425,生产车间,"320000","320582102","1","00064c95e41b4ad6a03e9bf8583dc7fc",晨港市西路3号,admin,admin,2023-11-06,2023-11-06,1,"0","91320592766512296D","120.447648","31.942778"
2026-03-11 20:03:07.000,"320500",a4de2116f6334989b3ae54b74aabdeed,"320506","8aae073b944924c5019449bb743f7271",注塑车间,"320000","320506103","1","000659a9438e484eabff6c8a21d769f9",竹园西路西端,admin,admin,2025-01-09,2025-01-09,1,"0","913205067205373325","120.507195","31.271837"
2026-03-11 20:03:07.000,"320500","00bc3717bab6495e88b330eca1ddbecb","320507","8ae4ca8e831cac230183344a44792501",院内东侧1幢2楼,"320000","320507105","1","00065e9a00c04bcab9a93156ea6a395a",渭南路365号,admin,admin,2023-02-03,2023-02-03,1,"0","91320507MA22HT223R","120.641873","31.458849"
2026-03-11 20:03:07.000,"320500","068c2e4f46d54e65ad88b77d687fe18b","320582",da1f2e8ca63f481f8c77f429e8a7d0a7,正达特种纱线有限公司,"320000","320582101","1","00066ea2f72243f5989f0990efada388",金村路615号,admin,admin,2026-03-09,2026-03-09,1,"0","91320582660800433T","120.705000","31.800000"
2026-03-11 20:03:07.000,"320500",e714d574b2bb443eb0497834483e0978,"320507","249ert9r5npc000000",奇力特车间,,"320507003","1","00067de4304c49b2804c2b4f6c7aafa3",生田村厂区三号路,admin,admin,2022-01-20,2022-01-20,1,"0","91320507774672476A","120.578436","31.423129"
